3-d;"3-D"
electronic mail;""
electronic;"ɛlɛctronike"
element;"ɔfa bi"
ellipse;"ɛllipse"
elliptical;"tesɛ ɛllipse"
email address;""
email;""
embarrassed (smiley);""
embed;"hyɛmu"
embedded;"ɛhyɛ mu"
emboss;""
embossed;""
emoticon;"emotiaekɔn"
emphasis;"kena"
empty foundation;""
empty presentation;""
empty trash;""
empty;"asa"
emptying the trash;""
emulate;""
emulation;""
emulator;"ɛmulata"
enable animations;""
enable debugging code;""
enable networking;""
enable search;""
enable;"tumi yɛ"
enabled;"W'atumi ayɛ"
enabling;"Kwan pa"
encapsulate;""
encapsulated postscript;""
enclosing character;""
enclosure;""
encode;"dan"
encoded;"ɛnkodee"
encoder;"ɛkoda"
encoding;"ndanee"
encounter;""
encrypt;"ɛnkrept"
encrypted data;""
encrypted;"ɛnkreptee"
encryption;"ɛnkryphyin"
end date;"ɛreba awieɛ"
end user;"ɔdedifoɔ"
end;"awiei"
endless;""
endnote;"awie nkaeɛ"
engine;"efiri"
engineering;""
english;"Brɔfo"
engraved;""
enhance;"hyɛ mu ma"
enhanced;"Ɛnkɔsoro"
enhancement;"Sorokɔ"
enlarge;"Bae mu"
enlargement;""
enough;"kakraabi"
enter / enter key;"Wuram"
enter password for user;""
enter;"wura mu"
entered;"wuraa mu"
entertainment;"Anigyeɛ"
entire column;""
entire row;""
entire;"Nyinaa"
entity;""
entries;""
entry;"Adeɛ bi"
envelope;"bɔtɔ"
environment variable;""
environment;"ɛnvaeromɛnt"
epiphany web browser;""
equal sign;"Ɛbɛma wo"
equalizer;""
equation;""
erase;"pepa"
error checking;""
error code;"Mfomso adekyerɛw"
error handling;""
error message;"Mfomso amaneɛbɔ"
error occured;"Mfomso esi"
error printing;""
error report;"Mfomso asekyerɛde"
error;"mfomso"
escape key / esc;"Agyae aba"
escape;"twa mu"
estimate;"Susu ne dodow"
estimated;"Adodowsusu"
estonian;""
ethernet;"ɛtanɛt"
euro converter;""
europe;"Amanone"
european;"amanɔne ni / europa ni"
evaluate;"sɔ whɛ"
evaluation version;"vɛɛhyɛn a wɔresɔ ahwɛ"
evaluation;""
even number;""
even page;""
even;"abɔ ano"
evenly;""
event;"Asɛm bi"
every time;""
evince;""
evolution;""
exact;"pɛ"
examine;"hwehwɛ mu"
example;"mfatoho"
exceed;"aboro so"
exceeded;"ɛboroo so"
exception;"ngyegye"
exchange database;""
exchange;"di nsesa"
exclamation mark / exclamation point;"ɛne nteamu"
exclude;"Te neho"
exclusive or;""
executable file;""
executable;"ɛyɛ edwuma"
execute;"di-dwuma"
exist;""
existing;"te ase"
exit;"pue"
exiting;"repue"
expand (directory);""
expand all threads;""
expand slide;""
expand;"Trɛmu"
expanded memory;""
expanded spacing;""
expanded;"trɛɛ mu"
expansion;""
expect;"hwɛ anim"
expected location;""
expected;"hwɛɛ anim"
expecting;"wɔrehwɛ anim"
experienced;"Adesuadeɛ"
expiration;"twa mu"
expire;"atwam"
expired;"etwa mu"
explain;"Asekyerɛ"
explanation;"Asekyerɛ"
explicit state;""
explore;"hwehwɛ mu"
explorer (program);""
explorer;"ɛxplora"
exponential notation;""
export as pdf;""
export as;"Soma"
export;"mane"
exposure;"Han"
expression;"adwenkyerɛ"
expunge;""
extend;"Trɛ mu"
extended selection;""
extended tips;""
extended;"Trɛɛ mu"
extensible;""
extension (file);""
extension;"trɛw"
extensions;""
external tools;""
external;"Abɔntenso"
extra;"Mmorosoɔ"
extracondensed;""
extract;"Twe"
extraction;""
extraexpanded;""
extrusion;""
eye of gnome;""
eyedropper;""
facility personnel;""
factorial;""
factory setting;"factre sɛttinse"
fade in;"faade kɔmu"
fade out color;""
fade out;"faade pue"
fail;"di nkugu"
failed;"edi nkugu"
failsafe terminal;""
failure;"nkugu"
fallback;"Nsiananmu"
false;"atoro"
family name;""
family;"abusua"
fan;"Abɔmframa"
faq (frequently asked question);""
faq / frequently asked questions;"FAQ/Nsɛmusa"
fast forward;"Wɔso"
fast;"hare"
faster;"Ntɛmtɛm"
fastest;""
fatal;"huhuuhu"
fault;""
favorite folder;"fael a wo pɛ"
favorite;"Ɔpɛ pa"
fax;"faxe"
feature;"Yɛbea bi"
february;"Ogyefuo"
feed (newsfeed);""
feed;"Nsɛm soma"
feedback;"Feedbaake"
feet;""
female;"ɔbaa"
fetch;"kɔfa"
fetching;"Fa bra"
fewer;"Esua"
field names;""
field shadings;""
field;"filde"
fields;""
figure;"Figa"
file already exists;""
file as;""
file browser;"brawsa fael"
file chooser;""
file does not exist;""
file exists;""
file extension;"faele ntoaso"
file format;"faele tebea"
file input (form html);""
file management;""
file manager menu;""
file manager;""
file name;""
file not found;""
file pointer;""
file size;"Faele kɛseɛ"
file submission;""
file system;"fael sestɛm"
file transfer;""
file transfers;""
file type;""
file;"fael"
filename;"faele din"
filesystem;""
filetype;"fael typo"
filing cabinet;""
fill;"hyɛ ma"
filled;"hyɛɛ  ma"
filter;"sɔne"
final angle;""
final;"ɛtoɔ"
find & replace;""
find again;""
find in message;""
find in this page;""
find next;"hu ndiso"
find now;""
find previous;"hwehwɛ nea atwam"
find;"hwehwɛ"
finder;"hwehwɛfo"
finding;"rehwehwɛ"
fine line;""
finger;"nsatea"
finish;"wie"
finished;"awie"
finishing;""
finnish;""
firefox web bowser;""
firefox;""
firewall;"ogyaban"
firmware;"fɛɛm wɛɛ"
first name;"din a edi kan"
first;"kan"
fish;""
fit on screen;""
fit page width;""
fit to frame;""
fit;"ahimtwa"
fix;"siesie"
fixed font;""
fixed width;""
fixed-width font;"fixed-width fɔnto"
fixed;"siesiee"
flag;"frankaa"
flagged;""
flash drive;"flash drivo"
flash;"Flashe"
flat;"Tratra"
flip;"dane"
float (verb);""
float;""
floating frame;""
floating point number;""
flood;""
floor;""
floppy disk drive;""
floppy drive;""
floppy;""
flow analysis;""
flow chart;""
flow control;"floo kɔntrool"
flow;"akɔneaba die"
flowchart;""
fly out;""
flyout menu;"flaeout menu"
focal;""
focus;"fokɔso"
focused;"fokɔsoeɛ"
fold mark;""
folder does not exist;""
folder;"Folda"
follow symbolic links;""
follow-up;"di akyire"
font color;"fɔnt kala"
font effect;"fɔnt efɛcte"
font family set;""
font points;""
font selector button;""
font selector dialog;""
font size set;""
font size;"fɔnto kɛseɛ"
font stretch set;""
font stretch;""
font style set;""
font style;"fɔnt staele"
font variant set;""
font variant;""
font weight set;""
font weight;""
font;"fɔnto"
fonts;""
fontwork;""
foot-in-mouth (smiley);""
foot;""
footer;"ase nkyerɛwee"
footnote;"footo noto"
footnotes;""
forbidden;"Akyiwadeɛ"
force quit;""
force;"Nhyɛ"
forecast;""
foreground application;"Aplekehyɛn a ɛda soro"
foreground color;""
foreground set;""
foreground task;"Fɔɔgraondo taske"
foreground;"Fɔɔgraondo"
foreign;"Amanone"
forever;""
forget passwords;""
fork;""
form letter;""
form;"fɔɔm"
format (noun);""
format (verb);""
format;"fɔɔmat"
formatted;"nhyehyɛe"
formatting bar;""
formatting mark;""
formatting;"rehyehyɛ"
formula bar;""
formula;"fɔmula"
forum;"fɔrum"
forward as;""
forward contact;""
forward slash;"enim slahye"
forward;"wɔ so"
forwarded message;""
forwarded;"nwɔso"
found;"ehu"
fourier analysis;""
fraction;""
fragment;""
frame set;""
frame;"frem"
frameset;"frem-ne-set"
framework;""
free news letters;""
free software;""
free/busy information;""
free/busy;""
free;""
freeware;"freewɛɛ"
freeze;""
french;"Frɛnkye"
frequency;"ntoatoaso nɔmba"
frequently;"ntoatoaso"
friday;"Fida"
friend;"adamfo"
from template;""
front end;"Anim"
front;"anim"
frown (smiley);""
ftp / file transfer protocol;""
ftp;""
full control;""
full duplex transmission;""
full name;"din nyanara"
full pathname;""
full screen mode;"skreen tɛtrɛtɛɛ gyinabea"
full screen;"skreen tɛtrɛtɛɛ"
full version;"vɛɛhyen a odi mu"
fully qualified form;""
function bar;""
function list;""
function;"fankhyɛn"
functionality;"fankhyɛnaliti"
fuzzy;"naa"
gadu-gadu;""
gallery;"galɛri"
game over;""
game;"agoro"
gamma;""
gap;""
gateway;"getwe"
generate;"Nya"
generating;"Guso renya"
generation;""
generator;"gyɛnereta"
generic error;""
generic;"genɛrik"
genre;""
geometric shape;""
geometric;""
geometry;""
get user info;""
get;"gye"
gigabyte;"gigabaet"
given name;""
glass;""
global menu;""
global;"Afana nyinaa"
glossary;"Glɔssari"
glue point;""
glue points;""
gnome display manager;""
gnome footprint;""
gnome panel;""
gnome terminal;""
gnome;""
gnu;""
go back;"kɔ ekyiri"
go forward;"kɔ enim"
go to line;""
go to;"kɔ"
goal seek;""
google;""
gouraud;""
gpl;""
gps / global positioning system;"GPS"
grab;""
gradient;""
grain;""
grammar;"grama"
grant permission;"ma ho kwan"
graph;"graf"
graphic design;"grafic disaen"
graphic;"eniso-ade"
graphical user interface;""
graphical;""
graphics;""
gray-scale;""
gray;"Nso"
grayscale;"greskel"
greater than;"so sene"
green;"ahabanmono"
grid;"Atena"
gridline;"gridlaen"
group box;""
group by threads;""
group name;""
group;"kuw"
gthumb image viewer;""
gtk+;""
gtk;""
guard;""
guess;""
guest;"hɔhow"
gui / graphical user interface;"GUI"
gui;""
guide;"akwankyerɛ"
guideline;"akwankyerɛ"
guides;""
gutter;""
hacker;""
half duplex transmission;""
half;"fa"
hand-held;"okura"
hand;"nsa"
handle (noun);""
handle (of object);""
handle (verb);""
handle;"hwɛ so"
handler;""
handout page;""
handout;""
handshake;""
hang up;"firi ahoma so"
hanging indent;""
hard disk;""
hard drive;"Haad drivo"
hardware;"haadwɛɛ"
hash;""
hatch;""
hazardous;""
head;""
header;"eti asɛm"
headers & footers;""
heading;"Atifi asɛm"
headline;"hɛdlaen"
headphones;"hɛdfon"
headset;""
headword;""
hebrew visual;""
hebrew;""
height of the window;""
height;"soro-tenten"
hello world;""
help contents;""
help;"moa"
helper application;""
hex;""
hexadecimal number;""
hexadecimal;""
hibernate;"haebanate"
hidden file;""
hidden paragraphs;""
hidden;"asie"
hide button;""
hide deleted messages;""
hide read messages;""
hide selected messages;""
hide;"suma"
hierachy;""
hierarchy;"Nhyehyɛe"
high contrast;""
high light;""
high priority;"Ehia yie"
high security;""
high;"soro"
higher;"soro paa"
highest;""
highlight color;"Haelaete kɔla"
highlight current line;""
highlight mode;""
highlight...;""
highlight;"haelaete"
highlighted;"haelaeteeɛ"
hint;"asotire"
hiragana;""
his/her;"ɔno"
histogram;""
history;"abakɔsɛm"
hit;"fa bɔ"
hold down;"Fato fam"
hold;"Kuta"
home directory;"folda fie"
home folder;""
home page;""
home phone;""
home;"fie"
homepage;"krataafa fie"
homogeneous environment;""
homogeneous;""
hop;""
horizontal adjustment;""
horizontal alignment;""
horizontal line;""
horizontal ruler;""
horizontal scrollbar;""
horizontal;"tɛtrɛtɛ mu"
horizontally;"tɛtrɛtɛ mu"
host name;""
host;"ɔhɔhogyefo"
hostname;"ɔhɔhogyefo din"
hot key;""
hot list;""
hotkey;"Ahyɛnsoamba"
hotplug;""
hotspot;"hyewbea"
hour format;""
hour;"dɔnhwere"
housekeeping;""
hpa;""
html;""
http;""
hue;"nkekaeɛ"
hungarian;""
hyperlink;"haepalink"
hypertext;"haepatɛkst"
hyphen;"haefen"
hyphenate;"haefinate"
hyphenation;"haefinahyin"
i/o subsystem;""
icon name;""
icon selector button;""
icon selector dialog;""
icon size;""
icon view;""
icon;"aekɔn"
icq;""
id / identification;"Nsohyɛde"
id;""
ide;""
identifier;"Nsohyɛde"
identify;""
identity theft;"Nsohyɛde korɔnobɔ"
identity;"Ahyɛnsode"
idiom;""
idle time;""
idle;"adakwa"
ignore all;""
ignore;"yi w'ani"
ignoring;"Enfin"
illegal;"kwamone so"
illumination;"nhyerɛnso"
illustration;"yɛkyerɛ"
im / instant message / instant messaging;"Kasa nkitahodi mpofrim"
image data;""
image file;""
image map;""
image size;"mfonin kɛseyɛ"
image viewer;""
image/label border;""
image;"mfonin"
imagemap;""
implement;""
implementation;""
implemented;""
implicit;""
import;"twe"
important;"ehiasɛm"
imported;"Kra bae"
importing;"rekra aba"
improper;""
improve;"Siesie"
in progress;"Guso"
in the future;""
in-line;"ɛwɔ mu"
inactive window;""
inactive;"Ɛnyɛ adwuma"
inbox;"Male adaka"
inch;"Inche"
include;"Faka ho"
incoming server;""
incoming;"Nea ɛreba"
incompatible;"mmfa"
incomplete;"Ɛnso"
inconsistent;""
incorrect;"Ntorɔ"
increase;"kɔsoro"
increment;""
incremental update;""
incrementally search;""
increments;""
indent value;""
indent;"indɛnte"
indentation;"indɛntahyin"
index entry;""
index mark;""
index;"Indɛse"
indexes and tables;""
indicator size;""
indicator;"tebeakyerɛ fidie"
indice;""
individual;"ankoankorɛ"
indonesian;""
infect;""
infected file;""
infected;"Nkekae"
infinite;""
infinity;""
info;"Nsɛm(nimdeɛ)"
information technology;""
information;"infɔmehyen"
infrared;"Infrarɛd"
inhg;""
initial;"Mfiti aseɛ"
initialization;""
initialize (computer);""
initialize (storage medium);""
initialize (variable);""
initialize;"Firi aseɛ"
initials;"Di din kan"
initiate;""
initiation;""
inline frame;""
inline;""
inner join;""
inner;""
innocent (smiley);""
inode;""
input box;"Nsɛm Adaka"
input field;""
input mask;""
input method status;""
input method;""
input methods;""
input-output analysis;""
input/output;""
input;"nhyɛmu"
inquire;""
inscription;""
insecure;"Nni ahobanbɔ"
insensitive version;""
insert data;""
insert date and time;""
insert spaces;""
insert;"fa hyɛ mu"
inserted;"De hyɛɛ mu"
insertion point;"Nsɛmfua bi kwan"
install;"instɔl"
installation;"instɔlehyɛn"
installed;"einstɔl"
installer;"instɔlfo"
installing;"reinstɔl"
instance;"Asɛm a ɛsi"
instant message;""
instantiate;""
instruction pointer;""
instruction;"Akwankyerɛ"
insufficient permissions;""
insufficient;"Nnso"
integer;"Intigya"
integral;""
integrate;""
integrated circuit;""
integrated desktop;""
integrated;"Kabɔɔ mu"
integration;""
integrity;""
intensity;""
interaction;""
interactive search;""
interactive;"Nsawɔsoɔ"
interactivity;"Mfasoɔ bi"
intercept;""
interchange file format;""
interface;"Intafasi"
interlaced;""
intermediate;"Adantɛmu"
internal bug;""
internal error;""
internal;"emu"
international;"Ananfoɔ"
internet connection;"Intanɛt nsawɔsoɔ"
internet messenger;""
internet time;""
internet;"Intanɛte,abɛɛfo  kwantenpɔn"
interoffice;""
interpret;"kyerɛ ase"
interrupt;"si kwan"
intersect;""
intersection;"Nhyiamu"
interval;"kwan"
introduction;"Nfitiaseɛ"
intruder;""
intuitive;""
invalid filename;""
invalid signature;""
invalid uri;""
invalid;"nkontompo"
inverse;""
invert selection;""
invert;"butu"
inverted;"butu"
invest;""
invisible;"esie"
invitation;"To nsa frɛ"
invite;"To nsa frɛ"
invoke;""
inward;""
ip / internet protocol;"IP / Intanɛt protokɔl"
ip address;""
ip telephony, voip and video conferencing;""
ip;""
irc (internet relay chat);""
irc / internet relay chat;"IRC / intanɛt so nkɔmbɔ"
irc;""
isp (internet service provider);""
isp / internet service provider;"ISP / Intanɛt mafo"
issue to;""
issue;"Yi adu"
issued;"Yii adi"
issuer;"Oyi adi"
it / information technology;"IT"
italic;"aetalek"
item;"aetɛm"
iteration;""
jabber;""
jack;""
jag;""
jagged;""
jam;""
january;"Sanda"
japanese;""
javascript console;""
jaz drive;""
job;"adwuma"
join;"ka-bɔ-mu"
journal;""
joy stick;""
jpeg / jpg;"jpeg/jpg"
jpeg;""
july;"Kutawonsa"
jump;"huri"
june;"Obirade"
junk mail;"gyank male"
junk;"bɔɔla"
justification;"Atenetene"
justified;"Atenetene"
justify;"justifae"
katakana;""
kb / kilobyte;"kilobaet"
kb;""
kde;""
keep aligned;""
keep ratio;""
keep running;"kɔso di dwuma"
keep track;"hwɛ akyire"
keep;"Fa to hɔ"
kern;""
kernel;"kɛnɛl"
key (encryption);"Safoa"
key (searching);""
key (typing);"kee"
key in;"bɔ hyɛmu"
key stroke;""
key word;""
key;""
keyboard handling;""
keyboard indicator;""
keyboard plugin;""
keyboard preferences;""
keyboard shortcut;"keebɔɔdo kwantia"
keyboard shortcuts;""
keyboard;"keebɔɔdo"
keymap control;""
keypad;"keepaade"
keyring manager;""
keystroke;"keestroku"
keyword;"kasafua-titiriw"
kill app;""
kill;"kum"
kilobyte;""
king;""
km/h;""
knots;""
knowledge;"nimdeɛ"
korean;""
kpa;""
label text;""
label widget;""
label;"bɔlambɔ"
lag;""
lambda;""
lan (local area network);""
lan / local area network;"LAN"
landscape orientation;"landskape oreɛntahyin"
landscape paper;""
landscape;""
language pack;""
language settings;"kasa nhyehyɛe"
language support;"kasa nkuramu"
language;"kasa"
lao;""
laptop;"laptɔp"
large print;""
larger;"kɛseɛ sen"
largest;"kɛseɛ koraa"
laser;"kaneanoɔdenfidie"
last modified;"Nsakrae a etwa toɔ"
last name;"abusuadin"
last session;""
last visited;"srae"
last;"etwa-to"
latex;""
lathe object;""
latin;"Latin"
latvian;""
laughing (smiley);""
launch icon;""
launch;"bue-ano"
launcher;""
layer;"ntaataso"
layout style;""
layout;"nhyehyɛeɛ"
ldap server;""
leap year;""
learn;"Sua"
leave fullscreen mode;""
leave fullscreen;""
leave;"kɔ"
leaving;"Ɛrekɔ"
left arrow;"nifabɛma"
left click;"Nifa ntimso"
left join;""
left margin;""
left mouse button;""
left to right;""
left-click on;""
left-to-right;"nifa-kɔ-benkum"
left;"nifa"
legal;"Mmrakwanso"
legend;"akyerɛkyerɛ kwan"
length;"atenten"
lens;"lɛnse"
letter-like symbol;""
letter;"krataa"
letterhead;"Lɛttɛheade"
level;"mpɛnpɛnsoɔ"
library;"Nnwomasie bea"
license agreement;"Nteaseɛ"
license;"tumikrataa"
licensed;"License"
light precipitation;""
light;"Ani dum"
limit;"ɛpem"
limited;"Kɔpem"
limits;""
line arguments;""
line begin (begin of line);""
line break;"line brake"
line color;""
line joint;""
line numbering;""
line skew;""
line weight;""
line wrap;""
line;"kwan tea"
linear transfer;""
linear;"kwan tee"
link to external data;""
link;"linke"
linked;"dii nsawɔsoɔ"
links;""
linux;""
lips are sealed (smiley);""
list all;"Bobɔ ne nyinaa"
list box;"Liste Adaka"
list item;""
list of available;""
list view;""
list;"liste"
listed;"Bobɔe"
listen;"tie"
listener;"tiefo"
listing;"Ntwerɛeɛ nidisoɔ"
literal;""
lithuanian;""
live bookmark;""
live mode;""
live;"sesei a"
load images;""
load;"hyehyɛ"
loaded;"hyehyɛe"
loading;"rehyehyɛ"
local address books;""
local;"Teman mu"
locale;"lokaal"
localization;"localisahyin"
locate;"hwehwɛ"
located in;"hwehwɛ wɔ"
location;"beaɛ"
lock screen;""
lock the screen;""
lock to panel;""
lock;"to mu"
locked file;""
locked;"too mu"
log file;"lɔg faele"
log in / login;"wura  mu"
log in anyway;""
log in;""
log off;"lɔg ɔff"
log on;"lɔg ɔn"
log out root;""
log out;"pue"
log;"lɔgo"
logged in;"abɔ awuram"
logged;"lɔɔgoeɛ"
logging in;"Wura mu"
logging;"kɔso lɔge"
logical height;""
logical number;""
logical volume management;""
logical;""
login screen;""
login window;""
login;""
logo;"logo"
logout;""
long description;"nkyerɛmu tenten"
look and feel;""
look for;"hwehwɛ"
look in;"hwɛ mu"
look up;"hwehwɛ"
look;""
lookup;""
loop;""
loose;""
lost connection;"ate kɔ"
low;"fam"
lower-case;""
lower;"fam paa"
lowercase;"nketewa mu"
lowered position;""
lowest;"aseɛ hɔ"
m.sec. (millisecond);""
m/s;""
machine language;""
machine operator;""
machine;"afidie"
macro;"makro"
macros;""
magenta;"magyɛnta"
magnetic tape;""
magnification;"Kɛse yɛ"
mail box;""
mail client;""
mail merge (form letter);""
mail merge wizard;""
mail server;"male sɛɛva"
mail to;""
mail;"mel"
mailbox;"male adaka"
mailer;""
mailing list;"emel list"
main board;""
main body;""
main menu button;""
main menu;""
main title;""
main toolbar;""
main;"titriw"
mainboard;""
maintain;""
maintainer;""
maintenance;"Nsiesie"
major gridline;""
major interval mark;""
major interval;""
make links;""
male;"barima"
malformed;"Anhyehyɛ yie"
malfunction;"nnyɛ adwuma"
malware;"Mɔlwɛɛ"
man pages;""
manage bookmarks;""
manage custom sizes;""
manage;"Hwɛso"
management information system;""
management;"Nhwɛsoɔ"
manager (program);""
manager;""
mandatory;"Ehia"
manipulate;"danedane"
manual break;"Mra kwan frɛ"
manual page;""
manual;"mra kwan"
manually;""
manufacturer;"ɔyɛfo"
map;"Maapo"
mapped;"Maapo"
mapping;"maape"
march;"Ɛbɔw"
margin;"maagyen"
marginalia;""
margins;""
mark all message as read;""
mark as;""
mark;"ahyɛnso"
marked;"Sane"
markup;"maakap"
marquee;""
mask;"Maske"
master document;""
master field;""
master password;""
master;"Papa no"
match case;"Makye kaase"
match;"di nsɛ"
matched;"Ɛsɛ"
matching;""
math;"nkonta"
maximise;""
maximize;"Yɛno kɛse"
maximized;"Yɛɛno kɛse"
maximum length;""
maximum value;""
maximum width;""
maximum;"kɛse paa"
may;"Kɔtɔnimma"
md5 fingerprint;""
md5;""
mdi;""
mean;"asekyerɛ"
meaning;"asekyerɛ"
measure;"Susu"
measurement unit;"Susu dua"
measurement;"Nsusueɛ"
mechanism;"Kwan bi so"
media player;"Midea afidie"
media type;""
media;"Midea"
median;""
medium;"Adantamu"
meeting information;""
meeting;"Nhyiamu"
megabyte;"mɛgabaet"
member;"kuo ba"
membership;"kuo ba"
memo list;""
memo;"mɛmo"
memorandum;"mɛmo"
memory;"mɛmri"
menu bar;"mɛnu baa"
menu item;""
menu layout;""
menu panel;""
menu title;""
menu tree pane;""
menu;"mɛnu"
menubar;""
menus & toolbars;""
merge cell;""
merge table;""
merge;"mɛɛge"
merged;"Ka bɔɔmu"
merging;"reka abɔmu"
message body;""
message box;"Adaka"
message contains;""
message filters;""
message source;""
message;"nkrato"
messenger;"Somafoɔ"
meta;"mɛta"
metacity;""
metadata;"mɛta data"
metafile;""
metal;""
meter;"anamɔn baako"
method;"anamɔn bi"
metric;"mɛtreke"
metrics (metric system);""
microphone;"akasamu"
middle mouse button;""
middle;"mfinimfini"
midi;""
migrate;"tu kwan"
migration;""
mile;"kwansin"
milligram;"milligramo"
milligrams;""
millimeter;"millimita"
millisecond;"millisɛkɛn"
milliseconds;""
mime type;""
mini icons;""
minimize;"yɛ-ketewa"
minimum;"ketewabi"
minix;""
minor faults;""
minor gridline;""
minor interval mark;""
minor interval;""
minor;"kumaa"
minus sign;"ntefirimu ahyɛnso"
minus;"ntefirimu"
minute;"sema"
mirror;"nhwɛsoɔ"
miscellaneous;"ahorow"
mismatch;""
missing;"Ayera"
misspell;""
misspelled;"antwerɛ no yie"
mist;""
mistake;"Mfomsoɔ"
mix;"Ka fra"
mixer device;""
mixer;"Afidie a ɔde ka fra"
mmhg;""
mobile phone;"Abɛɛfo Akasahoma fidie"
mobile;"tumi kyini"
modal (value);""
modal;""
mode;"Tebea bi"
model;"Modɛl"
modem;"modɛm"
moderated;"Kyinkyim"
moderator;"Hwɛsofoɔ"
modification;"Nsesae"
modified;"Asesa"
modifier;""
modify;"sesa"
module;"mɔdul"
moment;"Mrɛ bi"
monday;"Ɛdwoada"
money-mouth (smiley);""
monitor (hardware);""
monitor program;""
monitor;"Mɔnita"
monitored;"Hwɛɛ so"
monitoring;"rehwɛ so"
mono;"Mono"
monochrome;"Kɔla koro"
month view;""
month;"bosome"
more preferences;""
more;"bio"
morphing;""
mosaic;"mozeke"
motion;"nkekaho"
mount;"foro"
mounted;"mountɛd"
mouse cursor;""
mouse keys;""
mouse over;"maoso faso"
mouse pointer;"maoso akyerɛkwan"
mouse preferences;""
mouse;"maoso"
move all contact to;""
move contact to;""
move down;"yi kɔ fam"
move folder to...;""
move tab to the left;""
move tab to the right;""
move to folder;""
move to new window;""
move to trash;""
move up;"kɔ soro"
move;"soa-kɔ"
moved;"twe kɔ"
movement;"akɔneaba die"
movie and sound;""
movie;"sini"
moving;"derekɔ"
mph;""
ms;""
msdos;""
msn;""
mtu;""
multi operation;""
multi-select;"multi-sɛlɛt"
multi-touch;"multi-takye"
multi-user system;""
multi;"dodoɔ"
multimedia system selector;""
multimedia systems selector;""
multimedia;"mɔltimidia"
multimeter;""
multiple operations;""
multiple recipients;"agyefo mbɔho"
multiple;"mbɔho"
multiplication sign;""
multiply;"mmɔho"
multiselection;""
multitasking;"mɔltitasken"
munger;""
music player;"music playa"
music;"nnwom"
mute sounds;""
mute;"mum"
muted;"emua ano"
n/a;""
name contains;""
name;"din"
named;"Din"
names;""
namespace;"Namesopasi"
narrow;"Hwea"
nautilus;""
navigate;"kyini"
navigation pane;""
navigation toolbar;""
navigation;"akyinkyin akyinkyin"
navigator (program);""
navigator;""
near;"ɛbɛn"
nearest;"ɛbɛn"
negation;""
negative binomial;""
negative;"ɛka"
neighbor;""
nested table;""
netiquette;""
netmask;""
netscape;""
netstat;""
network administrator;"Nɛtwɛɛke hwɛsofoɔ"
network connection;"Nɛtwɛɛke nsawɔsoɔ"
network interface;""
network monitor;""
network places;""
network proxy;""
network server;""
network servers;""
network settings;""
network tools;""
network topology;""
network;"Nɛtwɛɛke"
new address book;""
new calendar;""
new contact list;""
new contact;""
new folder;""
new game;""
new instant message;""
new meeting;""
new memo list;""
new message;""
new panel;""
new profile;""
new release;""
new tab;""
new task list;""
new window;""
new;"foforo"
news group;""
news server;"Kaseɛbɔ fie"
news site;""
news;""
newsfeed;"Nkaseɛbɔ"
newsgroup;"Nkaseɛbɔ kuo"
newsletter;"nkaseɛbɔhoma"
next document;""
next tab;""
next;"ndiso"
nick name;""
nickname;"din hunu"
no description;""
no effect;""
no error message;""
no error;""
no hint available;""
no name;""
no results;""
no summary;""
no-daemon;""
no;"daabi"
node;"ɛpɔw"
noise;"dede"
non-breaking hyphen;""
non-breaking space;""
non-convertible;""
non-printing character;"akyerɛwde a yɛntim"
none;"asa"
nonprinting characters;""
normal distribution;""
normal size;""
normal;"saa ara"
north;"atifi"
not a directory;""
not a regular file;""
not available;"nni hɔ"
not changed;"Nnsesae"
not configured;"mmfa nsii hɔ"
not connected;"nkaa nsiiani"
not correct;"mfomso"
not created;"mmɔe"
not defined;"nkyerɛɛ aseɛ"
not displayed;"nnyiadi"
not enabled;"mmoa ne ho"
not encrypted;"Nntwerɛe"
not enough memory;"Ahoɔden asa"
not enough space;"Kwan asa"
not found;"nhunui"
not installed;"nninstɔl"
not loaded;"nhyehyɛe"
not logged in;"nnwura mu"
not ready;"nwieɛ"
not recognized;"nnim no"
not sent;"ansoma"
not set;"nhyehyɛe"
not shown;"nyii adi"
not started;""
not supported;"ɛnso"
not valid;"Ɔnye ntomu"
not visible;"Nhunu"
not;"Abira"
notation;"Ahyɛnso"
note indicator;""
note;"krataa"
notebook;"nootobuuku"
notes page;""
notice;"Nkaebɔ"
notification area;""
notification;"Asɛnka"
notify;"Kae"
november;"Obubuo"
null;"to"
num lock;"Num lɔk"
number converter;""
number format;""
number of channels;""
number of rows;""
number of;""
number pad;"nɔmba pade"
number theory;""
number;"aba"
numbered list;""
numbered;"w'akan"
numbering;"rekan"
numeral;"numera"
numerator;""
numeric;"numɛrik"
numerical;"numɛrikal"
object (goal);""
object (subject);""
object (thing);""
object code;""
object;"ɔbgyɛkt"
oblique;""
obscure;""
observations;""
obsolete;""
occur;"si"
occurence;""
occurred;"Asi"
occurrence;"Asi/Ɛresi"
octal number;""
octet;""
october;"Ahinime"
odd number;""
odd;"ɔɔdo"
off;"adum"
office;"Ɔfise"
offline;"Nni ahomaso"
offset;""
ok;"yoo"
on screen keyboard;""
on this computer;""
on;"asɔ"
ongoing;""
online help;"abɛɛfo kwantenpɔn mmoa"
online shopping;"Intanɛteso dwadie"
online;"abɛɛfo kwantenpɔn"
opacity;"Ɔpasiti"
opaque;""
open a file;""
open a new window;""
open existing presentation;""
open file;""
