3-d;"3-D"
description;"ពិពណ៌នា"
descriptor;""
deselect;"ដោះ​ជម្រើស"
design;"រចនា"
designation;"នាម​កត្តា"
designer;"អ្នក​រចនា"
desktop background;""
desktop computer;"កុំព្យូទ័រ​លើ​តុ"
desktop effects;""
desktop environment;""
desktop icon;""
desktop;"ផ្ទៃតុ"
destination folder;""
destination;"ទិសដៅ"
destroy;""
detach tab;""
detach;"ផ្ដាច់"
detail;"សេចក្ដី​លម្អិត"
details about;""
detect and repair;"រកឃើញ និង ជួសជុល"
detect;""
detected;""
detection;""
detective;"អ្នក​អង្កេត"
devanagari;""
develop;""
developer;"អ្នក​បង្កើត"
development cycle;"ខួប​អភិវឌ្ឍន៍"
development;""
device manager;""
device;"ឧបករណ៍"
diacritic / diacritical mark;""
diacritic, diacritical mark;"វណ្ណយុត្តិ"
diagnostics;""
diagonal line;"អង្កត់​ទ្រូង"
diagonal;""
diagram;"ដ្យាក្រាម"
dial in;"ហៅ​ចូល"
dial out;""
dial tone;""
dial-up access;"ចូល​ដំណើរការ​តាម​ទូរស័ព្ទ​លើ​តុ"
dial-up;""
dial;"ហៅ (ទូរស័ព្ទ)"
dialect;"គ្រាម​ភាសា"
dialer;"អ្នក​ហៅ"
dialog box;"ប្រអប់"
dialog element;""
dialog pane;""
dialog;""
dialogue / dialog;""
dialout device;""
dialup;""
diameter;""
dictation software;"កម្មវិធី​សរសេរ​តាម​អាន"
dictionaries;""
dictionary server;""
dictionary sources;""
dictionary;""
difference;""
digest;""
digit;"តួ​លេខ"
digital camera;""
digital signature;"ហត្ថលេខា​ឌីជីថល"
digital signatures;""
digital;"ឌីជីថល"
digitally;""
digits;""
dim;"ស្រអាប់"
dimension;"វិមាត្រ"
direct access;"ការ​ចូល​ដំណើរការ​ផ្ទាល់"
direction;"ទិស"
directories;""
directory not empty;""
directory server;"ម៉ាស៊ីន​បម្រើ​ថត"
directory;"ថត"
disable;"មិន​អនុញ្ញាត"
disabled;"មិន​បាន​អនុញ្ញាត"
disabling;""
disc;"ថាស"
discard;"បោះចោល"
discarded;""
disclaim;"ប្រកែក"
disclaimer;"អ្នក​ប្រកែក"
disconnect;"ផ្ដាច់"
disconnected;""
discontinue;"បញ្ឈប់"
discrete;""
discussion;"កិច្ច​ពិភាក្សា"
disk drive;"ដ្រាយ​ថាស"
disk space;"ទំហំ​ថាស"
disk usage analyzer;""
disk;"ថាស"
diskette;"ថាស​តូច"
dismiss;""
dispatch;"បញ្ជូន"
display line numbers;""
display;"ទិដ្ឋភាព"
displayed;""
dissertation;"បរមាធិប្បាយ"
dissipation;""
dissolve;"រំលាយ"
distance;"ចម្ងាយ"
distinct;"ខុសគ្នា"
distort;"បង្ខូច​ទ្រង់ទ្រាយ"
distortion;""
distribute columns evenly;"ចែក​ជួរ​ឈរ​ស្មើៗ​គ្នា"
distribute rows evenly;"ចែក​ជួរ​ដេក​ស្មើៗ​គ្នា"
distribute;"ចែកចាយ"
distributed;""
distribution list;""
distribution;"ការ​ចែកចាយ"
distributor;"អ្នក​ចែកចាយ"
dithering;"ច្របល់"
divide;""
divided;""
dividend;"តំណាង​ចែក"
division by zero;""
division sign;"សញ្ញា​ចែក"
division;""
divisor;"តួ​ចែក"
dma;""
dns;""
do you really want to;""
do you want to;""
dock;"ចូល​ផែ"
document begin;"ដើម​ឯកសារ"
document statistics;""
document viewer;""
document;"ឯកសារ"
documentation;""
documentations;""
documents;""
does not exist;""
dom inspector;""
domain name;""
domain;"ដែន"
domestic;"ក្នុង​តំបន់"
done;"ធ្វើ​រួច"
dossier;"សំណុំរឿង"
dot matrix printer;"ម៉ាស៊ីន​បោះពុម្ព​ប្រើ​ម្ជុល"
dot;"ចំណុច"
dotted;"ចុច"
double click;"ចុច​ទ្វេ​ដង"
double line;"បន្ទាត់​ទ្វេ"
double quote;""
double size;"ទំហំ​ទ្វេ"
double strikethrough;"បន្ទាត់​ឆូត​ទ្វេ"
double underline;"គូស​បន្ទាត់​ក្រោម​ពីរ​ជាន់"
double-click on;""
double-sided;"សងខាង"
double;"ទ្វេ"
down arrow;""
down time;"ពេល​ខូច"
down;""
downgrade;"បន្ទាប"
download;"ទាញយក"
downloaded;""
downloading;""
downloads;""
downward;"ទៅ​ក្រោម"
dpi  / dots per inch;""
draft;"សេចក្ដី​ព្រាង"
drafts;""
drag and drop;""
drag;"អូស"
draw;""
drawer;""
drawing area;""
drawing toolbar;"របារ​ឧបករណ៍​គូរ"
drawing;""
drawn;""
drive;"ដ្រាយ"
driver;"កម្មវិធី​បញ្ជា"
drop cap;"អក្សរ​ធំ​ដើម​អត្ថបទ"
drop down menu;"ម៉ឺនុយ​​ធ្លាក់ចុះ"
drop out;"បាត់បង់​សញ្ញា"
drop shadow;""
drop-down combination box;""
drop-down list box;""
drop-down;""
drop;"ទម្លាក់"
dropout;""
dropped;""
dropping;""
druid;""
dual;""
due;""
dumb terminal;"ស្ថានីយ៍​ទទួល"
dummy;"អត់​ចេះ​សោះ"
dump;""
duplex;"ដែល​មាន​ពីរ"
duplicate slide;""
duplicate...;""
duplicate;"ស្ទួន"
duration;"ថិរវេលា"
dutch;""
dvd+r disc;""
dvd+r;""
dvd+rw disc;""
dvd+rw;""
dvd-r disc;""
dvd-r;""
dvd-ram disc;""
dvd-ram;""
dvd-rom disc;""
dvd-rom;""
dvd-rw disc;""
dvd-rw;""
dvd;"ឌីវីឌី"
dynamic;"ថាមវន្ត"
e-book (electronic book);"សៀវភៅ​អេឡិចត្រូនិច"
e-commerce (electronic commerce);"ពាណិជ្ជកម្ម​អេឡិចត្រូនិច"
e-commerce / electronic commerce;""
e-mail (email);"អ៊ីមែល"
e-mail address;"អាសយដ្ឋាន​អ៊ីមែល"
e-mail client;"កម្មវិធី​អ៊ីមែល"
e-mail server;"ម៉ាស៊ីន​បម្រើ​អ៊ីមែល"
e-mail;""
e.g.;""
e.g;""
each;""
earlier;""
easier;""
east;""
easy;""
echo;""
edge;"គែម"
edit as new message;""
edit bookmarks;""
edit menus;""
edit saved search;""
edit search folder;""
edit;"កែសម្រួល"
editable;""
edited;""
editing mode;""
editing;""
edition;"ស្នាដៃ"
editor font;""
editor;"កម្មវិធី​និពន្ធ"
education;""
effect;"ប្រសិទ្ធិភាព"
effects;""
eject (disk);"ច្រានចេញ"
eject;""
ejected;""
elapse;"កន្លង​ទៅ"
elapsed;"ដែលកន្លង​ទៅ"
electronic mail;"សំបុត្រ​អេឡិចត្រូនិច"
electronic;""
element;"ធាតុ"
ellipse;""
elliptical;""
email address;""
email;""
embarrassed (smiley);"ខ្មាស​អៀន"
embed;"បង្កប់"
embedded;"ដែល​បង្កប់"
emboss;"ធ្វើ​ឲ្យ​ក្រឡោត"
embossed;"លៀន"
emoticon;"សញ្ញាអារម្មណ៍"
emphasis;"ការ​សង្កត់ (សម្លេង)"
empty foundation;""
empty presentation;""
empty trash;""
empty;"សម្អាត"
emptying the trash;""
emulate;"ត្រាប់​តាម"
emulation;""
emulator;"វត្ថុ​ត្រាប់​តាម"
enable animations;""
enable debugging code;""
enable networking;""
enable search;""
enable;"អនុញ្ញាត"
enabled;"បាន​អនុញ្ញាត"
enabling;""
encapsulate;"ស្រោប"
encapsulated postscript;""
enclosing character;"តួអក្សរ​ព័ទ្ធ​ជុំ​វិញ"
enclosure;"អ្វី​ៗ​ភ្ជាប់​ជាមួយ​សំបុត្រ"
encode;"អ៊ិនកូដ"
encoded;""
encoder;"អ៊ិនកូឌ័រ"
encoding;""
encounter;"ជួប​ប្រទះ"
encrypt;"អ៊ិនគ្រីប"
encrypted data;""
encrypted;""
encryption;""
end date;""
end user;"អ្នក​ប្រើ"
end;"ចុង"
endless;"មិន​ចេះ​ចប់"
endnote;"លេខ​យោង​ចុង"
engine;""
engineering;""
english;""
engraved;"លឹប"
enhance;""
enhanced;""
enhancement;""
enlarge;"ពង្រីក"
enlargement;""
enough;""
enter / enter key;""
enter password for user;""
enter;"បញ្ចូល"
entered;""
entertainment;"ការកំសាន្ត"
entire column;"ជួរឈរ​ទាំងមូល"
entire row;"ជួរដេក​ទាំងមូល"
entire;"ទាំងមូល"
entity;"អង្គភាព"
entries;""
entry;"ធាតុ​បញ្ចូល"
envelope;""
environment variable;""
environment;""
epiphany web browser;""
equal sign;"សញ្ញា​ស្មើ"
equalizer;"ធ្វើ​ឲ្យ​ស្មើ​គ្នា"
equation;""
erase;"លុប"
error checking;"ការ​ពិនិត្យ​កំហុស"
error code;"លេខ​កំហុស"
error handling;"ដោះស្រាយ​កំហុស"
error message;""
error occured;""
error printing;""
error report;""
error;"កំហុស"
escape key / esc;""
escape;"គេច​ចេញ"
estimate;""
estimated;""
estonian;""
ethernet;"អ៊ីសឺរណិត"
euro converter;"កម្មវិធី​បម្លែង​​អឺរ៉ូ"
europe;""
european;""
evaluate;"វាយ​តម្លៃ"
evaluation version;"កំណែ​សាកល្បង"
evaluation;"ការ​វាយ​តម្លៃ"
even number;"លេខគូ"
even page;"ទំព័រ​គូ"
even;""
evenly;"ស្មើៗគ្នា"
event;"ព្រឹត្តិការណ៍"
every time;"គ្រប់ពេល"
evince;""
evolution;""
exact;""
examine;"ត្រួតពិនិត្យ"
example;""
exceed;""
exceeded;""
exception;"ករណី​​លើកលែង"
exchange database;""
exchange;""
exclamation mark / exclamation point;""
exclude;""
exclusive or;""
executable file;""
executable;"ដែល​អាច​ប្រតិបត្តិ"
execute;"ប្រតិបត្តិ"
exist;""
existing;""
exit;"ចេញ"
exiting;""
expand (directory);"បន្លាយ (ថត)"
expand all threads;""
expand slide;""
expand;"ពង្រីក"
expanded memory;""
expanded spacing;"គម្លាត​រង្វើល"
expanded;"រង្វើល"
expansion;""
expect;""
expected location;""
expected;"ដែល​រំពឹង"
expecting;""
experienced;""
expiration;"ការ​ផុត​កំណត់"
expire;"ផុត​កំណត់"
expired;"ដែល​ផុត​កំណត់"
explain;""
explanation;""
explicit state;""
explore;"រុករក"
explorer (program);"កម្មវិធី​រុករក"
explorer;""
exponential notation;""
export as pdf;""
export as;""
export;"នាំចេញ"
exposure;""
expression;"កន្សោម"
expunge;""
extend;""
extended selection;"ជម្រើស​បន្ថែម"
extended tips;"ព័ត៌មាន​ជំនួយ​បន្ថែម"
extended;""
extensible;""
extension (file);"កន្ទុយ (ឯកសារ)"
extension;"ផ្នែក​បន្ថែម"
extensions;""
external tools;""
external;"ក្រៅ"
extra;""
extracondensed;"ញឹក​​ខ្លាំង"
extract;"ស្រង់​ចេញ"
extraction;"ការ​ស្រង់​ចេញ"
extraexpanded;"រង្វើល​​​ខ្លាំង"
extrusion;"ការ​ហូត"
eye of gnome;""
eyedropper;"ឧបករណ៍​ចាក់​ពណ៌"
facility personnel;"បុគ្គលិក​បន្ទប់​ឧបករណ៍"
factorial;""
factory setting;"ការ​កំណត់​ពី​រោងចក្រ"
fade in;"លេច​បន្ដិច​ម្ដង"
fade out color;"ពណ៌​លេចឡើង"
fade out;"លិច​បន្ដិច​ម្ដង"
fail;"បរាជ័យ"
failed;""
failsafe terminal;""
failure;"ភាព​បរាជ័យ"
fallback;""
false;""
family name;""
family;""
fan;""
faq (frequently asked question);"សំណួរ​ដែល​សួរ​រឿយ​ៗ"
faq / frequently asked questions;""
fast forward;"ខារ​ទៅ​មុខ"
fast;""
faster;"លឿន​ជាង"
fastest;"លឿន​បំផុត"
fatal;"ធ្ងន់ធ្ងរ"
fault;""
favorite folder;"ថត​សំណព្វ"
favorite;"សំណព្វ"
fax;""
feature;"លក្ខណៈ​ពិសេស"
february;""
feed (newsfeed);"មតិ​ព័ត៌មាន"
feed;""
feedback;"មតិអ្នកប្រើ"
feet;"ហ៊្វីតថ៍"
female;""
fetch;"ទៅ​ប្រមូល​យក"
fetching;""
fewer;""
field names;""
field shadings;""
field;"វាល"
fields;""
figure;"រូបភាព​ពន្យល់"
file already exists;""
file as;""
file browser;"កម្មវិធី​រុករក​ឯកសារ"
file chooser;""
file does not exist;""
file exists;""
file extension;""
file format;""
file input (form html);"មើល File Submission"
file management;""
file manager menu;""
file manager;""
file name;"ឈ្មោះ​ឯកសារ"
file not found;""
file pointer;"ទ្រនិច​ឯកសារ"
file size;""
file submission;"ការ​ដាក់​ស្នើ​ឯកសារ"
file system;"ប្រព័ន្ធ​ឯកសារ"
file transfer;""
file transfers;""
file type;""
file;"ឯកសារ"
filename;""
filesystem;""
filetype;""
filing cabinet;"ទូ​ដាក់​ឯកសារ"
fill;"បំពេញ"
filled;"បាន​បំពេញ"
filter;"ត្រង"
final angle;"មុំ​បញ្ចប់"
final;""
find & replace;""
find again;""
find in message;""
find in this page;""
find next;"រក​បន្ទាប់"
find now;""
find previous;"រក​ខាង​ដើម"
find;"រក"
finder;""
finding;""
fine line;"បន្ទាត់​ល្មម"
finger;""
finish;"បញ្ចប់"
finished;""
finishing;""
finnish;""
firefox web bowser;""
firefox;""
firewall;"ជញ្ជាំងភ្លើង"
firmware;"កម្មវិធី​បង្កប់"
first name;"នាម​ខ្លួន"
first;"ដំបូង"
fish;""
fit on screen;"ប៉ុន​អេក្រង់"
fit page width;""
fit to frame;"សម​ទៅ​នឹង​ស៊ុម"
fit;"សម"
fix;"ជួសជុល"
fixed font;""
fixed width;""
fixed-width font;""
fixed;"ថេរ"
flag;"ទង់"
flagged;""
flash drive;""
flash;"បញ្ចេញ​​ពន្លឺ"
flat;"រាបស្មើ"
flip;"ត្រឡប់"
float (verb);""
float;""
floating frame;"ស៊ុម​អណ្ដែត"
floating point number;"ចំនួន​ពិត"
flood;""
floor;"បាត"
floppy disk drive;"ដ្រាយ​ថាស​​ទន់"
floppy drive;""
floppy;""
flow analysis;""
flow chart;"គំនូសតាង​​លំហូរ"
flow control;""
flow;""
flowchart;""
fly out;"ហោះ​ចេញ​ពី"
flyout menu;""
focal;"ដែល​ប្រសព្វ​គ្នា"
focus;"ផ្ដោត"
focused;""
fold mark;"ចំណុច​របត់"
folder does not exist;""
folder;"ថត"
follow symbolic links;""
follow-up;"បន្ត​ពី"
font color;"ពណ៌​ពុម្ពអក្សរ"
font effect;"បែបផែន​ពុម្ពអក្សរ"
font family set;""
font points;""
font selector button;""
font selector dialog;""
font size set;""
font size;"ទំហំ​ពុម្ពអក្សរ"
font stretch set;""
font stretch;""
font style set;""
font style;"រចនាប័ទ្ម​ពុម្ពអក្សរ"
font variant set;""
font variant;""
font weight set;""
font weight;""
font;"ពុម្ពអក្សរ"
fonts;""
fontwork;"សិល្បៈ​អក្សរ"
foot-in-mouth (smiley);"រអៀស​ខ្លួន"
foot;"ហ៊្វុតថ៍"
footer;"បាតកថា"
footnote;"លេខ​យោង"
footnotes;""
forbidden;""
force quit;""
force;"បង្ខំ"
forecast;""
foreground application;"កម្មវិធី​ខាង​មុខ"
foreground color;""
foreground set;""
foreground task;"ភារកិច្ច​ខាង​មុខ"
foreground;"ផ្ទៃ​ខាង​មុខ"
foreign;""
forever;""
forget passwords;""
fork;""
form letter;"សំបុត្រ​សំណុំ​បែបបទ"
form;"សំណុំ​បែបបទ"
format (noun);""
format (verb);""
format;"ទ្រង់ទ្រាយ"
formatted;""
formatting bar;"របារ​ទ្រង់ទ្រាយ"
formatting mark;""
formatting;""
formula bar;"របារ​រូបមន្ត"
formula;"រូបមន្ត"
forum;""
forward as;""
forward contact;""
forward slash;""
forward;"បញ្ជូន​បន្ត"
forwarded message;""
forwarded;""
found;""
fourier analysis;""
fraction;""
fragment;""
frame set;""
frame;"ស៊ុម"
frameset;"សំណុំ​ស៊ុម"
framework;""
free news letters;"សំបុត្រ​ព័ត៌មាន​ឥត​គិត​ថ្លៃ"
free software;""
free/busy information;""
free/busy;""
free;""
freeware;"កម្មវិធី​ប្រើ​ឥត​បង់​ថ្លៃ"
freeze;"បង្កក"
french;""
frequency;"ប្រេកង់"
frequently;""
friday;""
friend;""
from template;""
front end;"ផ្នែក​ខាង​មុខ"
front;""
frown (smiley);"ពេបជ្រាយ"
ftp / file transfer protocol;""
ftp;""
full control;"ត្រួតត្រា​ទាំងស្រុង"
full duplex transmission;"ការ​បញ្ជូន​ទ្វេ​ទិស​ក្នុង​ពេល​តែ​មួយ"
full name;""
full pathname;""
full screen mode;""
full screen;""
full version;"កំណែ​ពេញលេញ"
fully qualified form;"ទម្រង់​ពេញ​លក្ខណៈ"
function bar;"របារ​មុខងារ"
function list;""
function;"មុខងារ"
functionality;""
fuzzy;"ស្រពិចស្រពិល"
gadu-gadu;""
gallery;"វិចិត្រសាល"
game over;""
game;""
gamma;"ហ្គាម៉ា"
gap;"ចន្លោះ"
gateway;"ផ្លូវ​ចេញ​ចូល"
generate;"បង្កើត"
generating;""
generation;""
generator;""
generic error;""
generic;""
genre;"ប្រភេទ​តន្ត្រី"
geometric shape;"រាង​ធរណីមាត្រ"
geometric;""
geometry;"ធរណីមាត្រ"
get user info;""
get;"យក"
gigabyte;"ជីកាបៃ"
given name;""
glass;""
global menu;""
global;"សកល"
glossary;""
glue point;"ចំណុច​​​ភ្ជាប់"
glue points;""
gnome display manager;""
gnome footprint;""
gnome panel;""
gnome terminal;""
gnome;""
gnu;""
go back;"ត្រឡប់​ទៅ​ដើម"
go forward;"ទៅ​មុខ"
go to line;""
go to;""
goal seek;"ដោះស្រាយ​សមីការ"
google;""
gouraud;"ហ៊្គូរោដ"
gpl;""
gps / global positioning system;""
grab;""
gradient;"ជម្រាល"
grain;""
grammar;"វេយ្យាករណ៍"
grant permission;""
graph;""
graphic design;"ការ​រចនា​ក្រាហ្វិក"
graphic;"ក្រាហ្វិក"
graphical user interface;""
graphical;""
graphics;""
gray-scale;""
gray;""
grayscale;"មាត្រដ្ឋាន​ប្រផេះ"
greater than;""
green;""
grid;"ក្រឡា​ចត្រង្គ"
gridline;"បន្ទាត់​ក្រឡា​ចត្រង្គ"
group box;"ប្រអប់​ក្រុម"
group by threads;""
group name;""
group;"ក្រុម"
gthumb image viewer;""
gtk+;""
gtk;""
guard;"ឆ្មាំ"
guess;""
guest;"ភ្ញៀវ"
gui / graphical user interface;""
gui;""
guide;"មគ្គុទ្ទេសក៍"
guideline;""
guides;""
gutter;""
hacker;""
half duplex transmission;"ការ​បញ្ជូន​ឯកទិស​ក្នុង​ពេល​តែ​មួយ"
half;"ពាក់​កណ្ដាល"
hand-held;""
hand;""
handle (noun);""
handle (of object);"ចំណុច​ទាញ"
handle (verb);""
handle;"ដោះស្រាយ"
handler;"អ្នក​ដោះស្រាយ"
handout page;""
handout;"ប្លង់​បោះពុម្ព"
handshake;""
hang up;"ព្យួរ"
hanging indent;"ព្យួរ​ការ​ចូល​បន្ទាត់"
hard disk;"ថាស​រឹង"
hard drive;""
hardware;"ផ្នែក​រឹង"
hash;""
hatch;"ឆ្នូតៗ"
hazardous;"គ្រោះថ្នាក់"
head;""
header;"បឋមកថា"
headers & footers;""
heading;"ក្បាល"
headline;""
headphones;""
headset;""
headword;""
hebrew visual;""
hebrew;""
height of the window;""
height;"កម្ពស់"
hello world;""
help contents;""
help;"ជំនួយ"
helper application;"កម្មវិធី​ជំនួយ"
hex;""
hexadecimal number;"ចំនួន​គោល​ដប់​ប្រាំ​មួយ"
hexadecimal;""
hibernate;"សម្ងំ"
hidden file;""
hidden paragraphs;""
hidden;"ដែល​លាក់"
hide button;""
hide deleted messages;""
hide read messages;""
hide selected messages;""
hide;"លាក់"
hierachy;""
hierarchy;"ឋានានុក្រម"
high contrast;""
high light;""
high priority;"អាទិភាព​ខ្ពស់"
high security;"សុវត្ថិភាព​ខ្ពស់"
high;"ខ្ពស់"
higher;"ខ្ពស់​ជាង"
highest;"ខ្ពស់​បំផុត"
highlight color;"ពណ៌​បន្លិច"
highlight current line;""
highlight mode;""
highlight...;""
highlight;"ផ្នែក​សំខាន់"
highlighted;""
hint;""
hiragana;""
his/her;""
histogram;""
history;"ប្រវត្តិ"
hit;""
hold down;"សង្កត់​ចុះ"
hold;"កាន់"
home directory;"ថត​ផ្ទះ"
home folder;""
home page;"គេហទំព័រ"
home phone;""
home;"ផ្ទះ"
homepage;""
homogeneous environment;""
homogeneous;""
hop;"ដំណាក់"
horizontal adjustment;""
horizontal alignment;""
horizontal line;"ខ្សែ​ផ្ដេក"
horizontal ruler;"បន្ទាត់​ផ្ដេក"
horizontal scrollbar;"របារ​រមូរ​ផ្ដេក"
horizontal;"ផ្ដេក"
horizontally;""
host name;""
host;"ម៉ាស៊ីន"
hostname;"ឈ្មោះ​ម៉ាស៊ីន"
hot key;""
hot list;"បញ្ជី​អាសយដ្ឋាន​សំខាន់"
hotkey;"គ្រាប់ចុច​ចង"
hotplug;"ដោត​ឆៅ"
hotspot;"ចំណុច​ក្ដៅ"
hour format;""
hour;""
housekeeping;""
hpa;""
html;""
http;""
hue;"ភាព​លាំៗ​នៃ​ពណ៌"
hungarian;""
hyperlink;"តំណ​ខ្ពស់"
hypertext;"អត្ថបទ​តភ្ជាប់​គ្មាន​លំដាប់"
hyphen;""
hyphenate;"ភ្ជាប់​ដោយ​សហ​សញ្ញា"
hyphenation;"ការ​ដាក់​សហ​សញ្ញា"
i/o subsystem;""
icon name;""
icon selector button;""
icon selector dialog;""
icon size;""
icon view;""
icon;"រូបតំណាង"
icq;""
id / identification;""
id;"លេខ​សម្គាល់"
ide;""
identifier;"គ្រឿង​សម្គាល់"
identify;""
identity theft;""
identity;"អត្ត​សញ្ញាណ"
idiom;"សំនួន​វោហារ"
idle time;"ពេល​ទំនេរ"
idle;"ទំនេរ"
ignore all;"មិន​អើពើ​ទាំងអស់"
ignore;"មិន​អើពើ"
ignoring;""
illegal;""
illumination;"ការ​បំភ្លឺ"
illustration;"រូបភាព​លម្អ"
im / instant message / instant messaging;""
image data;""
image file;""
image map;"ផែនទី​រូបភាព"
image size;"ទំហំ​រូបភាព"
image viewer;""
image/label border;""
image;"រូបភាព"
imagemap;""
implement;"ប្រតិបត្តិ"
implementation;"ការ​ប្រតិបត្តិ"
implemented;""
implicit;"ទាំងស្រុង"
import;"នាំចូល"
important;"សំខាន់"
imported;""
importing;""
improper;"មិន​សមរម្យ"
improve;"ធ្វើ​ឲ្យ​ប្រសើរ"
in progress;"កំពុង​ដំណើរការ"
in the future;""
in-line;""
inactive window;""
inactive;"អសកម្ម"
inbox;"ប្រអប់​ទទួល"
inch;"អ៊ិន្ឈ៍"
include;"រួមបញ្ចូល"
incoming server;"ម៉ាស៊ីន​បម្រើ​ចូល"
incoming;"មក​ដល់"
incompatible;"ដែល​មិន​ឆប​គ្នា"
incomplete;""
inconsistent;""
incorrect;""
increase;"បង្កើន"
increment;""
incremental update;""
incrementally search;"ស្វែងរក​បន្ថែម"
increments;"ចំនួន​បន្ថែម"
indent value;"តម្លៃ​ចូល​បន្ទាត់"
indent;"ចូល​បន្ទាត់"
indentation;"ការ​ចូល​បន្ទាត់"
index entry;""
index mark;"សញ្ញា​សម្គាល់​លិបិក្រម"
index;"លិបិក្រម"
indexes and tables;""
indicator size;""
indicator;"ទ្រនិច​បង្ហាញ"
indice;""
individual;""
indonesian;""
infect;""
infected file;"ឯកសារ​ឆ្លង​​មេរោគ"
infected;"ដែល​ឆ្លង"
infinite;""
infinity;"អនន្តភាព"
info;""
information technology;"បច្ចេកវិទ្យា​ព័ត៌មាន"
information;"ព័ត៌មាន"
infrared;""
inhg;""
initial;"ដំបូង"
initialization;""
initialize (computer);"ចាប់ផ្ដើម"
initialize (storage medium);"រៀបចំ"
initialize (variable);"ផ្ដល់​តម្លៃ​ចាប់ផ្ដើម"
initialize;""
initials;"អាទិ​សង្កេត"
initiate;"ផ្ដើម​ថ្មី"
initiation;"ការ​ចាប់ផ្ដើម"
inline frame;"ស៊ុមក្នុង​តួ"
inline;"ក្នុង​តួ"
inner join;"រួម​ខាង​ក្នុង"
inner;"ខាង​ក្នុង"
innocent (smiley);"មិន​ដឹង​អី"
inode;""
input box;""
input field;"វាល​​បញ្ចូល"
input mask;"របាំង​បញ្ចូល"
input method status;""
input method;""
input methods;""
input-output analysis;"វិភាគ​ព័ត៌មាន​ចេញ​ចូល"
input/output;""
input;"ព័ត៌មាន​បញ្ចូល"
inquire;"សួរ"
inscription;"ចំណារ"
insecure;"គ្មាន​សុវត្ថិភាព"
insensitive version;""
insert data;"បញ្ចូល​ទិន្នន័យ"
insert date and time;""
insert spaces;""
insert;"បញ្ចូល"
inserted;""
insertion point;"ទីតាំង​បញ្ចូល"
install;"ដំឡើង"
installation;""
installed;""
installer;"កម្មវិធី​ដំឡើង"
installing;""
instance;"វត្ថុ"
instant message;"សារ​បន្ទាន់"
instantiate;"បង្កើត​ភ្លាមៗ"
instruction pointer;""
instruction;"សេចក្ដី​ណែនាំ"
insufficient permissions;""
insufficient;"មិន​គ្រប់គ្រាន់"
integer;""
integral;""
integrate;"រួមបញ្ចូល"
integrated circuit;"សៀគ្វី​រួមបញ្ចូល​គ្នា"
integrated desktop;"ផ្ទៃ​តុ​បញ្ចូល​គ្នា"
integrated;""
integration;""
integrity;""
intensity;"អាំងតង់ស៊ីតេ"
interaction;"អន្តរកម្ម"
interactive search;""
interactive;"អន្តរ​សកម្ម"
interactivity;"អន្តរ​សកម្មភាព"
intercept;""
interchange file format;""
interface;"ចំណុច​ប្រទាក់"
interlaced;"ត្របាញ់"
intermediate;""
internal bug;""
internal error;""
internal;"ខាង​ក្នុង"
international;""
internet connection;""
internet messenger;""
internet time;""
internet;"អ៊ីនធឺណិត"
interoffice;"រវាង​ការិយាល័យ"
interpret;""
interrupt;""
intersect;"ប្រសព្វ"
intersection;"ការ​ប្រសព្វ"
interval;"ចន្លោះ​ពេល"
introduction;""
intruder;"អ្នក​ឈ្លានពាន"
intuitive;""
invalid filename;""
invalid signature;""
invalid uri;""
invalid;"មិន​ត្រឹមត្រូវ"
inverse;""
invert selection;""
invert;"ដាក់​បញ្ច្រាស"
inverted;""
invest;""
invisible;"មើល​មិន​ឃើញ"
invitation;""
invite;""
invoke;"ហៅ"
inward;"ចូល​ក្នុង"
ip / internet protocol;""
ip address;""
ip telephony, voip and video conferencing;""
ip;"IP"
irc (internet relay chat);"IRC (ការ​ជជែក​កំសាន្ត​តាម​អ៊ិនធឺណិត)"
irc / internet relay chat;""
irc;""
isp (internet service provider);"ISP (អ្នកផ្ដល់​សេវា​អ៊ិនធឺណិត)"
isp / internet service provider;""
issue to;"ចេញ​ឲ្យ"
issue;""
issued;""
issuer;""
it / information technology;""
italic;"ទ្រេត"
item;"ធាតុ"
iteration;""
jabber;""
jack;""
jag;""
jagged;"រឆេត​រឆូត"
jam;""
january;""
japanese;""
javascript console;""
jaz drive;""
job;"ការងារ"
join;"ត"
journal;"ទិនានុប្បវត្តិ"
joy stick;""
jpeg / jpg;""
jpeg;""
july;""
jump;"លោត"
june;""
junk mail;"សារ​ឥត​បាន​ការ"
junk;"ឥត​បាន​ការ"
justification;""
justified;""
justify;"តម្រឹម​សង​ខាង"
katakana;""
kb / kilobyte;""
kb;"គីឡូបៃ"
kde;""
keep aligned;""
keep ratio;"រក្សា​សមាមាត្រ"
keep running;"ទុក​ឲ្យ​រត់​ដដែល"
keep track;""
keep;"រក្សាទុក"
kern;"សម្រួល​ចន្លោះ​តួ​អក្សរ"
kernel;"ខឺណែល"
key (encryption);"កូនសោ"
key (searching);"មើល Keyword"
key (typing);"គ្រាប់ចុច"
key in;""
key stroke;""
key word;""
key;""
keyboard handling;"ការ​ប្រើ​ក្ដារចុច"
keyboard indicator;""
keyboard plugin;""
keyboard preferences;""
keyboard shortcut;""
keyboard shortcuts;""
keyboard;"ក្ដារចុច"
keymap control;""
keypad;""
keyring manager;""
keystroke;"សង្កត់​គ្រាប់ចុច"
keyword;"ពាក្យ​គន្លឹះ"
kill app;""
kill;""
kilobyte;"គីឡូបៃ"
king;""
km/h;""
knots;""
knowledge;""
korean;""
